Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
Ц0000016006;RM7A16QLW(WH) Romanson;ЧАСЫ/Наручные/Romanson;;1;10290;Romanson;RM7A16QLW(WH).jpg;0;0;0;0;1;0;0;;;;Стальной;;;WR 50m;;;;;;Нержавеющая сталь ;;;;Женские;;Маленький;;;;;;Минеральное;Южная Корея;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;10290;
Ц0000010568;DL0581HMW(BK) Romanson;ЧАСЫ/Наручные/Romanson;DL0581HMW(BK);0;3650;Romanson;DL0581HMW(BK).jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;Стандартный;;;;;;Минеральное;Южная Корея;;;;;Кварцевый;;;Прямоугольник;;;;;;Стрелочный;;3650;
Ц0000010569;DL0581SMW(WH) Romanson;ЧАСЫ/Наручные/Romanson;DL0581SMW(WH);0;3650;Romanson;DL0581SMW(WH).jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;Стандартный;;;;;;Минеральное;Южная Корея;;;;;Кварцевый;;;Прямоугольник;;;;;;Стрелочный;;3650;
00000001581;DL2133SLW(BK) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SLW(BK);3;6350;Romanson;DL2133SLW(BK).jpg;0;1;1;1;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;21;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Круг;;;;;;Стрелочный;;5715;
СТ000004497;DL2133SLW(GR) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SLW(GR);1;5990;Romanson;DL2133SLW(GR).jpg;0;0;0;0;1;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;21;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Квадрат;;;;;;Стрелочный;;5391;
Ц0000000125;DL2133SLW(WH) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SLW(WH);0;5990;Romanson;DL2133SLW(WH).jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;Маленький;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Квадрат;;;;;;Стрелочный;;5391;
00054662123;DL2133SMW(BK) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SMW(BK);1;5590;Romanson;DL2133SMW(BK).jpg;0;0;1;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Мужские;;30;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Квадрат;;;;;;Стрелочный;;5031;
00054665159;DL2133SMW(GR) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SMW(GR);0;5990;Romanson;DL2133SMW(GR).jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;Стандартный;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Квадрат;;;;;;Стрелочный;;5391;
Ц0000000025;DL2133SMW(WH) Romanson;ЧАСЫ/Наручные/Romanson;DL2133SMW(WH);2;5990;Romanson;DL2133SMW(WH).jpg;0;1;0;0;0;1;0;;;;Кожаный ремешок;;;WR;;;;;;Титан;;;;Женские;;30;;;;10;;Минеральное;Южная Корея;;;;;Кварцевый;;;Квадрат;;;;;;Стрелочный;;5391;
00054663503;DL2158CLJ(WH) Romanson;ЧАСЫ/Наручные/Romanson;DL2158CLJ(WH);0;6190;Romanson;DL2158CLJ(WH).jpg;0;0;0;0;0;0;0;;;;Кожаный ремешок;;;WR;;;;;;Нержавеющая сталь ;;;;Женские;;Стандартный;;;;20;;Минеральное;Южная Корея;;;;;Кварцевый;;;Прямоугольник;;;;;;Стрелочный;;4952;
